name,type,座標(經緯度),營業時間
臺北市政府警察局,警察機構,"25.043890,121.509831",
中山分局,警察機構,"25.052609,121.522831",
中山一派出所,警察機構,"25.050007,121.521461",
中山二派出所,警察機構,"25.055917,121.523940",
圓山派出所,警察機構,"25.072735,121.523752",
長春路派出所,警察機構,"25.054658,121.536047",
長安東路派出所,警察機構,"25.048430,121.540570",
民權一派出所,警察機構,"25.059909,121.527979",
建國路派出所,警察機構,"25.068019,121.536016",
大直派出所,警察機構,"25.079549,121.544112",
大安分局,警察機構,"25.037849,121.533162",
羅斯福路派出所,警察機構,"25.011184,121.538832",
臥龍街派出所,警察機構,"25.017945,121.551929",
敦化南路派出所,警察機構,"25.038958,121.543927",
安和路派出所,警察機構,"25.032972,121.552107",
瑞安街派出所,警察機構,"25.031137,121.544994",
和平東路派出所,警察機構,"25.026631,121.530514",
新生南路派出所,警察機構,"25.037769,121.534057",
中正一分局,警察機構,"25.045206,121.517309",
忠孝西路派出所,警察機構,"25.045206,121.517309",
忠孝東路派出所,警察機構,"25.043669,121.527164",
仁愛路派出所,警察機構,"25.038981,121.522492",
介壽路派出所,警察機構,"25.040002,121.515502",
博愛路派出所,警察機構,"25.041733,121.511579",
中正二分局,警察機構,"25.031998,121.514033",
南海路派出所,警察機構,"25.031998,121.514033",
思源街派出所,警察機構,"25.015197,121.531924",
南昌路派出所,警察機構,"25.032322,121.516524",
泉州街派出所,警察機構,"25.024249,121.512195",
廈門街派出所,警察機構,"25.025834,121.517703",
文山二分局,警察機構,"24.992763,121.541098",
萬盛派出所,警察機構,"25.003900,121.538927",
景美派出所,警察機構,"24.992763,121.541098",
興隆派出所,警察機構,"25.001533,121.551190",
文山一分局,警察機構,"24.988750,121.563714",
木新派出所,警察機構,"24.982493,121.567308",
指南派出所,警察機構,"24.987314,121.577933",
萬芳派出所,警察機構,"25.002267,121.566815",
復興派出所,警察機構,"24.986813,121.547014",
木柵派出所,警察機構,"24.988750,121.563714",
南港分局,警察機構,"25.055226,121.594897",
玉成派出所,警察機構,"25.055226,121.594897",
舊莊派出所,警察機構,"25.038491,121.622533",
同德派出所,警察機構,"25.046075,121.585627",
南港派出所,警察機構,"25.054948,121.607170",
內湖分局,警察機構,"25.069275,121.589600",
康樂派出所,警察機構,"25.070374,121.618388",
東湖派出所,警察機構,"25.067447,121.612999",
文德派出所,警察機構,"25.066614,121.578937",
大湖派出所,警察機構,"25.084116,121.601373",
港墘派出所,警察機構,"25.078811,121.576697",
西湖派出所,警察機構,"25.079138,121.569334",
潭美派出所,警察機構,"25.055306,121.581598",
內湖派出所,警察機構,"25.082096,121.590151",
康寧派出所,警察機構,"25.081185,121.597533",
北投分局,警察機構,"25.133389,121.501338",
永明派出所,警察機構,"25.117852,121.516564",
竹子湖派出所,警察機構,"25.167487,121.540255",
公園派出所,警察機構,"25.148816,121.548612",
關渡派出所,警察機構,"25.122990,121.465967",
石牌派出所,警察機構,"25.109911,121.512519",
奇岩派出所,警察機構,"25.127662,121.507953",
大屯派出所,警察機構,"25.145565,121.493267",
光明派出所,警察機構,"25.137349,121.504223",
長安派出所,警察機構,"25.133389,121.501338",
士林分局,警察機構,"25.090485,121.526702",
翠山派出所,警察機構,"25.108129,121.560273",
後港派出所,警察機構,"25.087419,121.518052",
山仔后派出所,警察機構,"25.137283,121.546350",
永福派出所,警察機構,"25.101806,121.540474",
溪山派出所,警察機構,"25.119714,121.584557",
芝山岩派出所,警察機構,"25.101130,121.537876",
天母派出所,警察機構,"25.125108,121.532963",
蘭雅派出所,警察機構,"25.106660,121.524742",
社子派出所,警察機構,"25.089217,121.504592",
文林派出所,警察機構,"25.090485,121.526702",
信義分局,警察機構,"25.033169,121.567707",
六張犁派出所,警察機構,"25.023674,121.555199",
吳興街派出所,警察機構,"25.026571,121.563998",
福德街派出所,警察機構,"25.037725,121.581973",
五分埔派出所,警察機構,"25.045681,121.575864",
三張犁派出所,警察機構,"25.033169,121.567707",
松山分局,警察機構,"25.051321,121.547967",
民有派出所,警察機構,"25.061765,121.548077",
三民派出所,警察機構,"25.059287,121.562907",
東社派出所,警察機構,"25.056742,121.551413",
中崙派出所,警察機構,"25.048369,121.545169",
松山派出所,警察機構,"25.049862,121.577251",
大同分局,警察機構,"25.059508,121.515001",
